"object_id";"colonne";"valeur"
"58";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13603-INFO-EMP-LINKEDIN-FR-1564375879.html"
"58";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13603-INFO-EMP-LINKEDIN-FR-1564375879.html"
"58";"date_ingestion";"2025-10-17 15:14:35"
"59";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13604-INFO-EMP-LINKEDIN-FR-1604818595.html"
"59";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13604-INFO-EMP-LINKEDIN-FR-1604818595.html"
"59";"date_ingestion";"2025-10-17 15:14:35"
"60";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13605-INFO-EMP-LINKEDIN-FR-1617151191.html"
"60";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13605-INFO-EMP-LINKEDIN-FR-1617151191.html"
"60";"date_ingestion";"2025-10-17 15:14:35"
"61";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13606-INFO-EMP-LINKEDIN-FR-1569839108.html"
"61";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13606-INFO-EMP-LINKEDIN-FR-1569839108.html"
"61";"date_ingestion";"2025-10-17 15:14:35"
"62";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13607-INFO-EMP-LINKEDIN-FR-1559672806.html"
"62";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13607-INFO-EMP-LINKEDIN-FR-1559672806.html"
"62";"date_ingestion";"2025-10-17 15:14:35"
"63";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13608-INFO-EMP-LINKEDIN-FR-1618663471.html"
"63";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13608-INFO-EMP-LINKEDIN-FR-1618663471.html"
"63";"date_ingestion";"2025-10-17 15:14:35"
"64";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13609-INFO-EMP-LINKEDIN-FR-1582122565.html"
"64";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13609-INFO-EMP-LINKEDIN-FR-1582122565.html"
"64";"date_ingestion";"2025-10-17 15:14:35"
"65";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13610-INFO-EMP-LINKEDIN-FR-1582189165.html"
"65";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13610-INFO-EMP-LINKEDIN-FR-1582189165.html"
"65";"date_ingestion";"2025-10-17 15:14:35"
"66";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13611-INFO-EMP-LINKEDIN-FR-1331158524.html"
"66";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13611-INFO-EMP-LINKEDIN-FR-1331158524.html"
"66";"date_ingestion";"2025-10-17 15:14:35"
